Time,X,Y,Z
2025-03-26T15:57:11.373,     109.22,      197.33,      140.80
2025-03-26T15:57:11.889,     109.22,      197.34,      140.80
2025-03-26T15:57:12.406,     109.24,      197.36,      140.80
2025-03-26T15:57:12.954,     109.24,      197.34,      140.79
2025-03-26T15:57:13.472,     109.23,      197.33,      140.79
2025-03-26T15:57:13.987,     109.23,      197.35,      140.81
2025-03-26T15:57:14.503,     109.23,      197.35,      140.79
2025-03-26T15:57:15.069,     109.21,      197.36,      140.81
2025-03-26T15:57:15.619,     109.24,      197.34,      140.82
2025-03-26T15:57:16.136,     109.23,      197.34,      140.80
2025-03-26T15:57:16.650,     109.23,      197.36,      140.85
2025-03-26T15:57:17.168,     109.24,      197.33,      140.83
2025-03-26T15:57:17.717,     109.24,      197.34,      140.80
2025-03-26T15:57:18.233,     109.22,      197.37,      140.81
2025-03-26T15:57:18.748,     109.21,      197.34,      140.83
2025-03-26T15:57:19.266,     109.24,      197.34,      140.82
2025-03-26T15:57:19.779,     109.24,      197.32,      140.79
2025-03-26T15:57:20.281,     109.23,      197.34,      140.79
2025-03-26T15:57:20.796,     109.24,      197.34,      140.83
2025-03-26T15:57:21.311,     109.23,      197.33,      140.80
2025-03-26T15:57:21.812,     109.23,      197.34,      140.78
2025-03-26T15:57:22.327,     109.23,      197.34,      140.82
2025-03-26T15:57:22.827,     109.23,      197.35,      140.80
2025-03-26T15:57:23.376,     109.22,      197.33,      140.81
2025-03-26T15:57:23.893,     109.23,      197.35,      140.84
2025-03-26T15:57:24.410,     109.24,      197.33,      140.81
2025-03-26T15:57:24.960,     109.24,      197.34,      140.83
2025-03-26T15:57:25.473,     109.24,      197.35,      140.81
2025-03-26T15:57:25.991,     109.22,      197.33,      140.78
2025-03-26T15:57:26.538,     109.23,      197.33,      140.83
2025-03-26T15:57:27.056,     109.22,      197.34,      140.83
2025-03-26T15:57:27.571,     109.24,      197.35,      140.82
2025-03-26T15:57:28.071,     109.24,      197.33,      140.81
2025-03-26T15:57:28.589,     109.24,      197.33,      140.85
2025-03-26T15:57:29.105,     109.23,      197.33,      140.78
2025-03-26T15:57:29.621,     109.23,      197.33,      140.84
2025-03-26T15:57:30.138,     109.23,      197.33,      140.82
2025-03-26T15:57:30.686,     109.24,      197.36,      140.84
2025-03-26T15:57:31.202,     109.24,      197.35,      140.82
2025-03-26T15:57:31.717,     109.22,      197.35,      140.80
2025-03-26T15:57:32.218,     109.23,      197.35,      140.81
2025-03-26T15:57:32.734,     109.23,      197.33,      140.84
2025-03-26T15:57:33.251,     109.24,      197.33,      140.78
2025-03-26T15:57:33.765,     109.23,      197.33,      140.79
2025-03-26T15:57:34.283,     109.23,      197.35,      140.83
2025-03-26T15:57:34.831,     109.22,      197.34,      140.78
2025-03-26T15:57:35.349,     109.23,      197.35,      140.81
2025-03-26T15:57:35.899,     109.24,      197.32,      140.78
2025-03-26T15:57:36.414,     109.23,      197.34,      140.79
2025-03-26T15:57:36.929,     109.23,      197.35,      140.82
2025-03-26T15:57:37.478,     109.23,      197.34,      140.80
2025-03-26T15:57:37.996,     109.23,      197.34,      140.82
2025-03-26T15:57:38.511,     109.23,      197.32,      140.77
2025-03-26T15:57:39.028,     109.22,      197.33,      140.79
2025-03-26T15:57:39.545,     109.21,      197.36,      140.83
2025-03-26T15:57:40.242,     109.23,      197.35,      140.79
2025-03-26T15:57:40.743,     109.23,      197.34,      140.80
2025-03-26T15:57:41.244,     109.23,      197.33,      140.82
2025-03-26T15:57:41.774,     109.23,      197.35,      140.81
2025-03-26T15:57:42.274,     109.23,      197.36,      140.84
2025-03-26T15:57:42.790,     109.24,      197.35,      140.83
2025-03-26T15:57:43.306,     109.24,      197.35,      140.81
2025-03-26T15:57:43.821,     109.22,      197.34,      140.82
2025-03-26T15:57:44.322,     109.22,      197.35,      140.82
2025-03-26T15:57:44.840,     109.23,      197.32,      140.80
2025-03-26T15:57:45.353,     109.22,      197.31,      140.78
2025-03-26T15:57:45.853,     109.22,      197.35,      140.83
2025-03-26T15:57:46.368,     109.22,      197.35,      140.81
2025-03-26T15:57:46.886,     109.23,      197.33,      140.80
2025-03-26T15:57:47.400,     109.23,      197.32,      140.77
2025-03-26T15:57:47.900,     109.22,      197.32,      140.80
2025-03-26T15:57:48.416,     109.21,      197.32,      140.82
2025-03-26T15:57:48.934,     109.23,      197.34,      140.84
2025-03-26T15:57:49.448,     109.21,      197.33,      140.83
2025-03-26T15:57:49.966,     109.23,      197.33,      140.83
2025-03-26T15:57:50.481,     109.23,      197.33,      140.84
2025-03-26T15:57:50.999,     109.22,      197.33,      140.80
2025-03-26T15:57:51.513,     109.23,      197.34,      140.81
2025-03-26T15:57:52.014,     109.23,      197.34,      140.81
