No.,X,Y,Z,Displacement [mm]
  406,       0.23,        0.36,       -0.30,       0.52
  407,       0.21,        0.38,       -0.27,       0.51
  408,        NaN,         NaN,         NaN,        NaN
  409,        NaN,         NaN,         NaN,        NaN
  410,       0.00,        0.00,        0.00,       0.00
  411,       0.00,        0.00,        0.02,       0.02
  412,      -0.00,       -0.02,       -0.02,       0.03
  413,      -0.01,       -0.00,        0.01,       0.01
  414,      -0.01,       -0.01,        0.04,       0.04
  415,      -0.01,       -0.02,       -0.02,       0.03
  416,      -0.01,       -0.01,       -0.03,       0.04
  417,      -0.00,       -0.00,       -0.02,       0.02
  418,      -0.01,        0.01,        0.02,       0.02
  419,      -0.01,        0.01,        0.02,       0.02
  420,      -0.00,       -0.03,       -0.01,       0.03
  421,      -0.01,       -0.01,       -0.03,       0.03
  422,      -0.01,       -0.01,        0.00,       0.01
  423,       0.01,       -0.01,        0.02,       0.03
  424,      -0.00,       -0.01,        0.02,       0.02
  425,      -0.01,       -0.03,       -0.01,       0.03
  426,       0.00,        0.00,        0.00,       0.00
  427,      -0.00,       -0.01,       -0.05,       0.05
  428,       0.01,       -0.03,       -0.06,       0.07
  429,      -0.01,       -0.01,       -0.01,       0.02
  430,      -0.01,       -0.01,       -0.00,       0.02
  431,      -0.01,       -0.01,       -0.01,       0.02
  432,      -0.01,       -0.01,       -0.05,       0.05
  433,      -0.00,       -0.01,        0.01,       0.01
  434,      -0.02,       -0.01,        0.00,       0.02
  435,      -0.00,       -0.01,        0.02,       0.02
  436,      -0.01,       -0.02,        0.01,       0.03
  437,      -0.01,       -0.02,       -0.02,       0.03
  438,      -0.01,       -0.02,       -0.01,       0.02
  439,       0.00,       -0.02,       -0.03,       0.03
  440,       0.00,       -0.01,        0.02,       0.03
  441,       0.01,       -0.01,        0.00,       0.01
  442,      -0.02,       -0.01,       -0.01,       0.03
  443,      -0.01,       -0.02,       -0.05,       0.05
  444,       0.01,       -0.03,       -0.01,       0.03
  445,      -0.01,       -0.00,        0.03,       0.04
  446,      -0.01,       -0.01,        0.02,       0.03
  447,      -0.01,       -0.01,        0.02,       0.02
  448,      -0.01,       -0.01,       -0.01,       0.02
  449,      -0.01,       -0.02,        0.00,       0.03
  450,       0.01,       -0.00,        0.01,       0.02
  451,       0.01,       -0.01,        0.00,       0.02
  452,      -0.00,       -0.00,       -0.00,       0.00
  453,      -0.01,       -0.03,       -0.01,       0.03
  454,       0.00,       -0.04,       -0.01,       0.05
  455,       0.00,       -0.02,        0.00,       0.02
  456,      -0.00,       -0.02,       -0.01,       0.02
  457,      -0.01,       -0.02,        0.02,       0.03
  458,      -0.02,       -0.01,        0.02,       0.03
  459,      -0.01,       -0.00,       -0.01,       0.01
  460,       0.00,       -0.00,        0.02,       0.02
  461,      -0.01,       -0.00,        0.01,       0.02
  462,      -0.02,        0.01,        0.02,       0.03
  463,      -0.02,       -0.03,       -0.05,       0.06
  464,       0.00,       -0.02,       -0.04,       0.04
  465,       0.02,       -0.01,        0.03,       0.03
  466,       0.00,       -0.01,        0.01,       0.01
  467,      -0.02,       -0.02,       -0.01,       0.03
  468,      -0.02,       -0.02,        0.01,       0.03
  469,      -0.05,       -0.03,        0.02,       0.07
  470,      -0.06,       -0.05,        0.05,       0.10
  471,      -0.08,       -0.03,       -0.00,       0.08
  472,      -0.28,       -0.09,        0.03,       0.29
  473,      -1.30,       -0.21,        0.26,       1.34
  474,      -1.92,       -0.27,        0.22,       1.95
  475,      -1.87,       -0.29,        0.18,       1.90
  476,      -1.76,       -0.27,        0.25,       1.80
  477,      -1.73,       -0.27,        0.29,       1.78
  478,      -1.71,       -0.28,        0.25,       1.75
  479,      -1.71,       -0.27,        0.29,       1.75
  480,      -1.74,       -0.29,        0.23,       1.78
  481,      -1.79,       -0.29,        0.18,       1.83
  482,      -1.79,       -0.27,        0.23,       1.82
  483,      -1.76,       -0.28,        0.25,       1.80
  484,      -1.75,       -0.29,        0.26,       1.79
  485,      -1.73,       -0.26,        0.25,       1.76
  486,      -1.73,       -0.29,        0.33,       1.78
  487,      -1.72,       -0.25,        0.34,       1.77
  488,      -1.75,       -0.28,        0.26,       1.79
  489,      -1.74,       -0.26,        0.33,       1.79
  490,      -1.78,       -0.24,        0.31,       1.82
  491,      -1.76,       -0.27,        0.27,       1.80
  492,      -1.76,       -0.28,        0.28,       1.81
  493,      -1.75,       -0.26,        0.34,       1.80
  494,      -1.73,       -0.26,        0.32,       1.78
  495,      -1.72,       -0.26,        0.28,       1.76
  496,      -1.69,       -0.28,        0.29,       1.74
  497,      -1.71,       -0.29,        0.26,       1.75
  498,      -1.66,       -0.28,        0.31,       1.71
  499,      -1.67,       -0.28,        0.28,       1.72
  500,      -1.64,       -0.27,        0.30,       1.69
  501,      -1.67,       -0.28,        0.29,       1.72
  502,      -1.66,       -0.28,        0.27,       1.70
  503,      -1.70,       -0.29,        0.27,       1.75
  504,      -1.71,       -0.28,        0.30,       1.76
  505,      -1.70,       -0.28,        0.26,       1.74
  506,      -1.77,       -0.27,        0.23,       1.80
  507,      -1.75,       -0.28,        0.24,       1.79
  508,      -1.71,       -0.26,        0.32,       1.76
  509,      -1.69,       -0.26,        0.32,       1.74
  510,      -1.67,       -0.28,        0.30,       1.72
  511,      -1.67,       -0.25,        0.30,       1.71
  512,      -1.69,       -0.24,        0.33,       1.74
  513,      -1.68,       -0.28,        0.30,       1.73
  514,      -0.72,       -0.21,        0.16,       0.77
  515,      -0.24,       -0.12,        0.07,       0.28
  516,      -0.24,       -0.13,        0.06,       0.28
  517,      -0.24,       -0.14,        0.01,       0.28
  518,      -0.23,       -0.12,        0.08,       0.27
  519,      -0.23,       -0.11,        0.06,       0.26
  520,      -0.23,       -0.13,        0.03,       0.26
  521,      -0.23,       -0.12,        0.03,       0.26
  522,      -0.23,       -0.15,        0.04,       0.27
  523,      -0.22,       -0.13,        0.08,       0.27
  524,      -0.23,       -0.15,        0.02,       0.27
  525,      -0.22,       -0.11,        0.06,       0.25
  526,      -0.22,       -0.12,        0.03,       0.26
  527,      -0.22,       -0.13,        0.06,       0.26
  528,      -0.23,       -0.14,        0.02,       0.27
  529,      -0.23,       -0.13,        0.08,       0.28
  530,      -0.22,       -0.12,        0.06,       0.25
  531,      -0.20,       -0.14,        0.06,       0.25
  532,      -0.20,       -0.14,        0.07,       0.26
  533,      -0.20,       -0.12,        0.08,       0.25
  534,      -0.21,       -0.13,        0.09,       0.26
  535,      -0.21,       -0.15,        0.02,       0.25
  536,      -0.21,       -0.13,        0.05,       0.25
  537,      -0.22,       -0.14,        0.03,       0.26
  538,      -0.21,       -0.13,        0.03,       0.26
  539,      -0.21,       -0.14,        0.02,       0.26
  540,      -0.21,       -0.13,        0.07,       0.26
  541,      -0.20,       -0.12,        0.09,       0.25
  542,      -0.21,       -0.13,        0.07,       0.25
  543,      -0.21,       -0.13,        0.06,       0.25
  544,      -0.23,       -0.14,        0.06,       0.27
  545,      -0.21,       -0.15,        0.01,       0.26
  546,      -0.21,       -0.12,        0.08,       0.26
  547,      -0.21,       -0.11,        0.07,       0.25
  548,      -0.21,       -0.13,        0.04,       0.25
  549,      -0.21,       -0.13,        0.06,       0.25
  550,      -0.20,       -0.11,        0.05,       0.24
  551,      -0.22,       -0.13,        0.06,       0.26
  552,      -0.21,       -0.13,        0.06,       0.26
  553,      -0.21,       -0.13,        0.03,       0.25
  554,      -0.20,       -0.11,        0.04,       0.23
  555,      -0.21,       -0.12,        0.03,       0.25
  556,      -0.21,       -0.12,        0.08,       0.25
  557,      -0.21,       -0.12,        0.07,       0.26
  558,      -0.22,       -0.13,        0.04,       0.25
  559,      -0.20,       -0.13,        0.09,       0.25
  560,      -0.21,       -0.12,        0.06,       0.25
  561,      -0.21,       -0.14,        0.04,       0.25
  562,      -0.20,       -0.15,        0.03,       0.25
  563,      -0.21,       -0.13,        0.07,       0.26
  564,      -0.21,       -0.14,        0.07,       0.26
  565,      -0.21,       -0.13,        0.06,       0.26
  566,      -0.22,       -0.12,        0.09,       0.26
  567,      -0.22,       -0.13,        0.09,       0.27
