,x,y,z,Mx,My,Mz,Mx_std,My_std,Mz_std
617,4.0,1.6,8.0,-3.136000000000001,-1.5680000000000005,1.5680000000000005,8.926528984957934e-16,4.463264492478967e-16,4.463264492478967e-16
618,2.4,-1.6,6.4,-3.136000000000001,1.4709800000000002,4.500160000000001,8.926528984957934e-16,0.1295444995888956,0.5299803449757418
619,0.8,4.0,6.4,-1.5680000000000005,-3.136000000000001,3.136000000000001,4.463264492478967e-16,8.926528984957934e-16,8.926528984957934e-16
620,0.0,1.6,9.6,-1.5523200000000004,-1.5680000000000005,1.5680000000000005,0.15679999999999997,4.463264492478967e-16,4.463264492478967e-16
621,-4.0,3.2,5.6,1.5680000000000005,-3.136000000000001,3.4182400000000017,4.463264492478967e-16,8.926528984957934e-16,0.605440738035299
622,-0.8,1.6,10.4,-0.6213200000000001,-1.5356600000000002,1.5680000000000005,0.8111505344231424,0.22762703057964154,4.463264492478967e-16
623,4.0,-2.4,8.0,-3.0419200000000006,1.0623200000000002,1.5680000000000005,0.3742553463110771,0.10209194509130123,4.463264492478967e-16
624,2.4,0.8,10.4,-1.5680000000000005,-0.7359799999999999,1.5680000000000005,4.463264492478967e-16,0.8043378603145283,4.463264492478967e-16
625,3.2,-3.2,9.6,-1.5680000000000005,0.9594200000000002,1.5680000000000005,4.463264492478967e-16,0.13597483278723,4.463264492478967e-16
626,-3.2,0.0,6.4,1.5680000000000005,0.16268000000000002,4.704000000000001,4.463264492478967e-16,0.326731993467973,0.0
627,3.2,3.2,4.0,-6.272000000000002,-4.704000000000001,4.704000000000001,1.785305796991587e-15,0.0,0.0
628,2.4,0.0,7.2,-3.136000000000001,0.10093999999999999,3.136000000000001,8.926528984957934e-16,0.43481485250574875,8.926528984957934e-16
629,-0.8,0.8,7.2,-0.9270799999999997,-1.5680000000000005,4.704000000000001,0.7897230006640162,4.463264492478967e-16,0.0
630,-3.2,4.0,6.4,1.3818000000000004,-3.136000000000001,3.136000000000001,0.10653723207490332,8.926528984957934e-16,8.926528984957934e-16
631,-0.8,3.2,9.6,-1.0858399999999997,-1.5680000000000005,1.5680000000000005,0.7413481947496641,4.463264492478967e-16,4.463264492478967e-16
